,quality,bake temp,chill time,calories,density,bake time,weight
0,8,300,15.0,136.0,0.99367,12.1,15.2
1,7,520,34.0,113.0,0.99429,8.4,12.4
2,9,360,33.0,106.0,0.98746,14.0,9.4
3,7,490,41.0,124.0,0.9963,10.5,12.2
4,5,770,6.0,33.0,0.9974,9.4,19.8
5,7,500,23.0,139.0,0.9990399999999999,9.2,13.2
6,9,410,31.0,102.0,0.99221,10.9,13.2
7,9,440,30.0,180.0,0.9941,10.8,15.2
8,5,700,13.0,40.0,0.997,9.1,14.2
9,7,330,59.0,186.0,0.99754,9.4,13.8
10,9,300,45.0,197.0,0.9938,12.3,15.2
11,9,370,32.0,140.0,0.9895,12.8,12.6
12,8,300,18.0,117.0,0.99116,13.0,13.8
14,7,500,43.0,163.0,0.9999,9.2,15.2
15,7,360,34.0,200.0,0.9937,10.0,13.0
17,8,450,25.0,118.0,0.9922200000000001,11.0,12.0
20,9,240,14.0,130.0,0.9918,12.5,15.2
21,7,500,36.0,140.0,0.9913799999999999,11.2,15.6
23,9,320,14.0,71.0,0.9891200000000001,13.0,13.4
24,5,1090,31.0,119.0,0.9980100000000001,9.1,16.8
25,7,520,48.0,185.0,0.9934,9.4,12.6
26,8,450,39.0,193.0,0.9986,9.2,14.8
27,7,420,23.0,218.5,0.9935,9.8,12.2
28,10,480,35.0,103.0,0.9911,12.0,13.6
29,6,820,6.0,11.0,0.9953799999999999,12.2,15.2
30,8,440,31.0,185.0,0.998,10.0,16.0
31,6,440,16.0,70.0,0.9935200000000001,12.5,12.2
32,7,290,22.0,104.0,0.9949,9.0,11.0
33,5,850,9.0,22.0,0.99708,9.5,18.6
34,8,670,53.0,178.0,0.9976,9.0,14.8
35,8,550,32.0,197.0,1.0002,9.0,14.6
36,9,500,23.0,83.0,0.99019,12.0,13.2
37,8,440,34.0,145.0,0.9945,9.7,10.6
38,5,570,15.0,26.0,0.9944799999999999,9.5,12.0
39,8,280,22.0,84.0,0.9940000000000001,10.8,13.8
40,5,810,17.0,108.0,0.9962,9.5,15.6
41,5,880,16.0,39.0,0.9961,9.2,14.0
42,9,510,29.0,149.0,0.99792,9.0,14.0
43,8,530,51.0,190.0,0.9978,9.7,13.0
44,5,800,22.0,39.0,0.9970100000000001,9.7,13.6
46,8,390,31.0,119.0,0.99815,9.3,15.2
47,7,390,8.0,143.0,0.9942,9.8,15.8
48,6,450,11.0,119.0,0.99556,9.4,17.2
49,5,650,9.0,18.0,0.9972,9.2,13.0
50,7,650,3.0,16.0,0.9962,10.5,16.0
51,8,1190,56.0,178.0,0.9957799999999999,10.2,14.3
52,7,470,20.0,77.0,0.9900100000000001,11.4,10.4
53,7,490,12.0,117.0,0.99134,11.5,11.8
54,8,320,17.0,50.0,0.9932,12.0,12.0
55,7,530,29.0,106.0,0.9945799999999999,9.0,11.6
57,8,350,26.0,102.0,0.992,10.6,10.6
